match_id,stage,stage_order,group,round_multiplier,date_utc,match_date,venue,stadium,city,host_country,home_team,away_team,home_slot,away_slot,home_slot_type,home_group_ref,home_match_ref,home_allowed_third_groups,away_slot_type,away_group_ref,away_match_ref,away_allowed_third_groups,is_group_stage,is_knockout,requires_slot_resolution,neutral_for_model,source_file,source_row_index
32,Group stage,1,C,,2026-06-20T01:00:00Z,2026-06-20,"Lincoln Financial Field, Philadelphia",Lincoln Financial Field,Philadelphia,USA,Brazil,Haiti,Brazil,Haiti,known_team,C,,,known_team,C,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,31
33,Group stage,1,F,,2026-06-20T04:00:00Z,2026-06-20,"Estadio BBVA, Monterrey",Estadio BBVA,Monterrey,Mexico,Tunisia,Japan,Tunisia,Japan,known_team,F,,,known_team,F,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,32
34,Group stage,1,F,,2026-06-20T17:00:00Z,2026-06-20,"NRG Stadium, Houston",NRG Stadium,Houston,USA,Netherlands,Sweden,Netherlands,Sweden,known_team,F,,,known_team,F,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,33
35,Group stage,1,E,,2026-06-20T20:00:00Z,2026-06-20,"BMO Field, Toronto",BMO Field,Toronto,Canada,Germany,Côte d'Ivoire,Germany,Côte d'Ivoire,known_team,E,,,known_team,E,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,34
36,Group stage,1,E,,2026-06-21T00:00:00Z,2026-06-21,"GEHA Field at Arrowhead Stadium, Kansas City",GEHA Field at Arrowhead Stadium,Kansas City,USA,Ecuador,Curaçao,Ecuador,Curaçao,known_team,E,,,known_team,E,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,35
37,Group stage,1,H,,2026-06-21T16:00:00Z,2026-06-21,"Mercedes-Benz Stadium, Atlanta",Mercedes-Benz Stadium,Atlanta,USA,Spain,Saudi Arabia,Spain,Saudi Arabia,known_team,H,,,known_team,H,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,36
38,Group stage,1,G,,2026-06-21T19:00:00Z,2026-06-21,"SoFi Stadium, Los Angeles",SoFi Stadium,Los Angeles,USA,Belgium,Iran,Belgium,Iran,known_team,G,,,known_team,G,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,37
39,Group stage,1,H,,2026-06-21T22:00:00Z,2026-06-21,"Hard Rock Stadium, Miami",Hard Rock Stadium,Miami,USA,Uruguay,Cabo Verde,Uruguay,Cabo Verde,known_team,H,,,known_team,H,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,38
40,Group stage,1,G,,2026-06-22T01:00:00Z,2026-06-22,"BC Place, Vancouver",BC Place,Vancouver,Canada,New Zealand,Egypt,New Zealand,Egypt,known_team,G,,,known_team,G,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,39
41,Group stage,1,J,,2026-06-22T17:00:00Z,2026-06-22,"AT&T Stadium, Dallas",AT&T Stadium,Dallas,USA,Argentina,Austria,Argentina,Austria,known_team,J,,,known_team,J,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,40
42,Group stage,1,I,,2026-06-22T21:00:00Z,2026-06-22,"Lincoln Financial Field, Philadelphia",Lincoln Financial Field,Philadelphia,USA,France,Iraq,France,Iraq,known_team,I,,,known_team,I,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,41
43,Group stage,1,I,,2026-06-23T00:00:00Z,2026-06-23,"MetLife Stadium, East Rutherford",MetLife Stadium,East Rutherford,USA,Norway,Senegal,Norway,Senegal,known_team,I,,,known_team,I,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,42
44,Group stage,1,J,,2026-06-23T03:00:00Z,2026-06-23,"Levi's Stadium, Santa Clara",Levi's Stadium,Santa Clara,USA,Jordan,Algeria,Jordan,Algeria,known_team,J,,,known_team,J,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,43
45,Group stage,1,K,,2026-06-23T17:00:00Z,2026-06-23,"NRG Stadium, Houston",NRG Stadium,Houston,USA,Portugal,Uzbekistan,Portugal,Uzbekistan,known_team,K,,,known_team,K,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,44
46,Group stage,1,L,,2026-06-23T20:00:00Z,2026-06-23,"Gillette Stadium, Boston",Gillette Stadium,Boston,USA,England,Ghana,England,Ghana,known_team,L,,,known_team,L,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,45
47,Group stage,1,L,,2026-06-23T23:00:00Z,2026-06-23,"BMO Field, Toronto",BMO Field,Toronto,Canada,Panama,Croatia,Panama,Croatia,known_team,L,,,known_team,L,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,46
48,Group stage,1,K,,2026-06-24T02:00:00Z,2026-06-24,"Estadio Akron, Guadalajara",Estadio Akron,Guadalajara,Mexico,Colombia,DR Congo,Colombia,DR Congo,known_team,K,,,known_team,K,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,47
49,Group stage,1,B,,2026-06-24T19:00:00Z,2026-06-24,"BC Place, Vancouver",BC Place,Vancouver,Canada,Switzerland,Canada,Switzerland,Canada,known_team,B,,,known_team,B,,,True,False,False,False,datalab_export_2026-06-03 16_17_15.xlsx,48
50,Group stage,1,B,,2026-06-24T19:00:00Z,2026-06-24,"Lumen Field, Seattle",Lumen Field,Seattle,USA,Bosnia and Herzegovina,Qatar,Bosnia and Herzegovina,Qatar,known_team,B,,,known_team,B,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,49
51,Group stage,1,C,,2026-06-24T22:00:00Z,2026-06-24,"Hard Rock Stadium, Miami",Hard Rock Stadium,Miami,USA,Scotland,Brazil,Scotland,Brazil,known_team,C,,,known_team,C,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,50
52,Group stage,1,C,,2026-06-24T22:00:00Z,2026-06-24,"Mercedes-Benz Stadium, Atlanta",Mercedes-Benz Stadium,Atlanta,USA,Morocco,Haiti,Morocco,Haiti,known_team,C,,,known_team,C,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,51
53,Group stage,1,A,,2026-06-25T01:00:00Z,2026-06-25,"Estadio Azteca, Mexico City",Estadio Azteca,Mexico City,Mexico,Czech Republic,Mexico,Czech Republic,Mexico,known_team,A,,,known_team,A,,,True,False,False,False,datalab_export_2026-06-03 16_17_15.xlsx,52
54,Group stage,1,A,,2026-06-25T01:00:00Z,2026-06-25,"Estadio BBVA, Monterrey",Estadio BBVA,Monterrey,Mexico,South Africa,South Korea,South Africa,South Korea,known_team,A,,,known_team,A,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,53
55,Group stage,1,E,,2026-06-25T20:00:00Z,2026-06-25,"Lincoln Financial Field, Philadelphia",Lincoln Financial Field,Philadelphia,USA,Curaçao,Côte d'Ivoire,Curaçao,Côte d'Ivoire,known_team,E,,,known_team,E,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,54
56,Group stage,1,E,,2026-06-25T20:00:00Z,2026-06-25,"MetLife Stadium, East Rutherford",MetLife Stadium,East Rutherford,USA,Ecuador,Germany,Ecuador,Germany,known_team,E,,,known_team,E,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,55
57,Group stage,1,F,,2026-06-25T23:00:00Z,2026-06-25,"AT&T Stadium, Dallas",AT&T Stadium,Dallas,USA,Japan,Sweden,Japan,Sweden,known_team,F,,,known_team,F,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,56
58,Group stage,1,F,,2026-06-25T23:00:00Z,2026-06-25,"GEHA Field at Arrowhead Stadium, Kansas City",GEHA Field at Arrowhead Stadium,Kansas City,USA,Tunisia,Netherlands,Tunisia,Netherlands,known_team,F,,,known_team,F,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,57
59,Group stage,1,D,,2026-06-26T02:00:00Z,2026-06-26,"SoFi Stadium, Los Angeles",SoFi Stadium,Los Angeles,USA,USA,Turkey,USA,Turkey,known_team,D,,,known_team,D,,,True,False,False,False,datalab_export_2026-06-03 16_17_15.xlsx,58
60,Group stage,1,D,,2026-06-26T02:00:00Z,2026-06-26,"Levi's Stadium, Santa Clara",Levi's Stadium,Santa Clara,USA,Paraguay,Australia,Paraguay,Australia,known_team,D,,,known_team,D,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,59
61,Group stage,1,I,,2026-06-26T19:00:00Z,2026-06-26,"Gillette Stadium, Boston",Gillette Stadium,Boston,USA,Norway,France,Norway,France,known_team,I,,,known_team,I,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,60
62,Group stage,1,I,,2026-06-26T19:00:00Z,2026-06-26,"BMO Field, Toronto",BMO Field,Toronto,Canada,Senegal,Iraq,Senegal,Iraq,known_team,I,,,known_team,I,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,61
63,Group stage,1,H,,2026-06-27T00:00:00Z,2026-06-27,"NRG Stadium, Houston",NRG Stadium,Houston,USA,Cabo Verde,Saudi Arabia,Cabo Verde,Saudi Arabia,known_team,H,,,known_team,H,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,62
64,Group stage,1,H,,2026-06-27T00:00:00Z,2026-06-27,"Estadio Akron, Guadalajara",Estadio Akron,Guadalajara,Mexico,Uruguay,Spain,Uruguay,Spain,known_team,H,,,known_team,H,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,63
65,Group stage,1,G,,2026-06-27T03:00:00Z,2026-06-27,"Lumen Field, Seattle",Lumen Field,Seattle,USA,Egypt,Iran,Egypt,Iran,known_team,G,,,known_team,G,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,64
66,Group stage,1,G,,2026-06-27T03:00:00Z,2026-06-27,"BC Place, Vancouver",BC Place,Vancouver,Canada,New Zealand,Belgium,New Zealand,Belgium,known_team,G,,,known_team,G,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,65
67,Group stage,1,L,,2026-06-27T21:00:00Z,2026-06-27,"MetLife Stadium, East Rutherford",MetLife Stadium,East Rutherford,USA,Panama,England,Panama,England,known_team,L,,,known_team,L,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,66
68,Group stage,1,L,,2026-06-27T21:00:00Z,2026-06-27,"Lincoln Financial Field, Philadelphia",Lincoln Financial Field,Philadelphia,USA,Croatia,Ghana,Croatia,Ghana,known_team,L,,,known_team,L,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,67
69,Group stage,1,K,,2026-06-27T23:30:00Z,2026-06-27,"Hard Rock Stadium, Miami",Hard Rock Stadium,Miami,USA,Colombia,Portugal,Colombia,Portugal,known_team,K,,,known_team,K,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,68
70,Group stage,1,K,,2026-06-27T23:30:00Z,2026-06-27,"Mercedes-Benz Stadium, Atlanta",Mercedes-Benz Stadium,Atlanta,USA,DR Congo,Uzbekistan,DR Congo,Uzbekistan,known_team,K,,,known_team,K,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,69
71,Group stage,1,J,,2026-06-28T02:00:00Z,2026-06-28,"GEHA Field at Arrowhead Stadium, Kansas City",GEHA Field at Arrowhead Stadium,Kansas City,USA,Algeria,Austria,Algeria,Austria,known_team,J,,,known_team,J,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,70
72,Group stage,1,J,,2026-06-28T02:00:00Z,2026-06-28,"AT&T Stadium, Dallas",AT&T Stadium,Dallas,USA,Jordan,Argentina,Jordan,Argentina,known_team,J,,,known_team,J,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,71
73,Round of 32,2,,1,2026-06-28T19:00:00Z,2026-06-28,"SoFi Stadium, Los Angeles",SoFi Stadium,Los Angeles,USA,,,Runner-up Group A,Runner-up Group B,runner_up_group,A,,,runner_up_group,B,,,False,True,True,True,datalab_export_2026-06-03 16_17_37.xlsx,0
74,Round of 32,2,,1,2026-06-29T17:00:00Z,2026-06-29,"NRG Stadium, Houston",NRG Stadium,Houston,USA,,,Winner Group C,Runner-up Group F,winner_group,C,,,runner_up_group,F,,,False,True,True,True,datalab_export_2026-06-03 16_17_37.xlsx,1
75,Round of 32,2,,1,2026-06-29T20:30:00Z,2026-06-29,"Gillette Stadium, Boston",Gillette Stadium,Boston,USA,,,Winner Group E,Best 3rd (Groups A/B/C/D/F),winner_group,E,,,best_third,,,"A,B,C,D,F",False,True,True,True,datalab_export_2026-06-03 16_17_37.xlsx,2
76,Round of 32,2,,1,2026-06-30T01:00:00Z,2026-06-30,"Estadio BBVA, Monterrey",Estadio BBVA,Monterrey,Mexico,,,Winner Group F,Runner-up Group C,winner_group,F,,,runner_up_group,C,,,False,True,True,True,datalab_export_2026-06-03 16_17_37.xlsx,3
77,Round of 32,2,,1,2026-06-30T17:00:00Z,2026-06-30,"AT&T Stadium, Dallas",AT&T Stadium,Dallas,USA,,,Runner-up Group E,Runner-up Group I,runner_up_group,E,,,runner_up_group,I,,,False,True,True,True,datalab_export_2026-06-03 16_17_37.xlsx,4
78,Round of 32,2,,1,2026-06-30T21:00:00Z,2026-06-30,"MetLife Stadium, East Rutherford",MetLife Stadium,East Rutherford,USA,,,Winner Group I,Best 3rd (Groups C/D/F/G/H),winner_group,I,,,best_third,,,"C,D,F,G,H",False,True,True,True,datalab_export_2026-06-03 16_17_37.xlsx,5
79,Round of 32,2,,1,2026-07-01T01:00:00Z,2026-07-01,"Estadio Azteca, Mexico City",Estadio Azteca,Mexico City,Mexico,,,Winner Group A,Best 3rd (Groups C/E/F/H/I),winner_group,A,,,best_third,,,"C,E,F,H,I",False,True,True,True,datalab_export_2026-06-03 16_17_37.xlsx,6
80,Round of 32,2,,1,2026-07-01T16:00:00Z,2026-07-01,"Mercedes-Benz Stadium, Atlanta",Mercedes-Benz Stadium,Atlanta,USA,,,Winner Group L,Best 3rd (Groups E/H/I/J/K),winner_group,L,,,best_third,,,"E,H,I,J,K",False,True,True,True,datalab_export_2026-06-03 16_17_37.xlsx,7
81,Round of 32,2,,1,2026-07-01T20:00:00Z,2026-07-01,"Lumen Field, Seattle",Lumen Field,Seattle,USA,,,Winner Group G,Best 3rd (Groups A/E/H/I/J),winner_group,G,,,best_third,,,"A,E,H,I,J",False,True,True,True,datalab_export_2026-06-03 16_17_37.xlsx,8
82,Round of 32,2,,1,2026-07-02T00:00:00Z,2026-07-02,"Levi's Stadium, Santa Clara",Levi's Stadium,Santa Clara,USA,,,Winner Group D,Best 3rd (Groups B/E/F/I/J),winner_group,D,,,best_third,,,"B,E,F,I,J",False,True,True,True,datalab_export_2026-06-03 16_17_37.xlsx,9
83,Round of 32,2,,1,2026-07-02T19:00:00Z,2026-07-02,"BMO Field, Toronto",BMO Field,Toronto,Canada,,,Runner-up Group K,Runner-up Group L,runner_up_group,K,,,runner_up_group,L,,,False,True,True,True,datalab_export_2026-06-03 16_17_37.xlsx,10
84,Round of 32,2,,1,2026-07-02T23:00:00Z,2026-07-02,"SoFi Stadium, Los Angeles",SoFi Stadium,Los Angeles,USA,,,Winner Group H,Runner-up Group J,winner_group,H,,,runner_up_group,J,,,False,True,True,True,datalab_export_2026-06-03 16_17_37.xlsx,11
85,Round of 32,2,,1,2026-07-03T03:00:00Z,2026-07-03,"BC Place, Vancouver",BC Place,Vancouver,Canada,,,Winner Group B,Best 3rd (Groups E/F/G/I/J),winner_group,B,,,best_third,,,"E,F,G,I,J",False,True,True,True,datalab_export_2026-06-03 16_17_37.xlsx,12
86,Round of 32,2,,1,2026-07-03T18:00:00Z,2026-07-03,"AT&T Stadium, Dallas",AT&T Stadium,Dallas,USA,,,Runner-up Group D,Runner-up Group G,runner_up_group,D,,,runner_up_group,G,,,False,True,True,True,datalab_export_2026-06-03 16_17_37.xlsx,13
87,Round of 32,2,,1,2026-07-03T22:00:00Z,2026-07-03,"Hard Rock Stadium, Miami",Hard Rock Stadium,Miami,USA,,,Winner Group J,Runner-up Group H,winner_group,J,,,runner_up_group,H,,,False,True,True,True,datalab_export_2026-06-03 16_17_37.xlsx,14
88,Round of 32,2,,1,2026-07-04T01:30:00Z,2026-07-04,"GEHA Field at Arrowhead Stadium, Kansas City",GEHA Field at Arrowhead Stadium,Kansas City,USA,,,Winner Group K,Best 3rd (Groups D/E/I/J/L),winner_group,K,,,best_third,,,"D,E,I,J,L",False,True,True,True,datalab_export_2026-06-03 16_17_37.xlsx,15
89,Round of 16,3,,2,2026-07-04T17:00:00Z,2026-07-04,"NRG Stadium, Houston",NRG Stadium,Houston,USA,,,Winner Match 73,Winner Match 75,winner_match,,73,,winner_match,,75,,False,True,True,True,datalab_export_2026-06-03 16_17_37.xlsx,16
90,Round of 16,3,,2,2026-07-04T21:00:00Z,2026-07-04,"Lincoln Financial Field, Philadelphia",Lincoln Financial Field,Philadelphia,USA,,,Winner Match 74,Winner Match 77,winner_match,,74,,winner_match,,77,,False,True,True,True,datalab_export_2026-06-03 16_17_37.xlsx,17
91,Round of 16,3,,2,2026-07-05T20:00:00Z,2026-07-05,"MetLife Stadium, East Rutherford",MetLife Stadium,East Rutherford,USA,,,Winner Match 76,Winner Match 78,winner_match,,76,,winner_match,,78,,False,True,True,True,datalab_export_2026-06-03 16_17_37.xlsx,18
92,Round of 16,3,,2,2026-07-06T00:00:00Z,2026-07-06,"Estadio Azteca, Mexico City",Estadio Azteca,Mexico City,Mexico,,,Winner Match 79,Winner Match 80,winner_match,,79,,winner_match,,80,,False,True,True,True,datalab_export_2026-06-03 16_17_37.xlsx,19
93,Round of 16,3,,2,2026-07-06T19:00:00Z,2026-07-06,"AT&T Stadium, Dallas",AT&T Stadium,Dallas,USA,,,Winner Match 83,Winner Match 84,winner_match,,83,,winner_match,,84,,False,True,True,True,datalab_export_2026-06-03 16_17_37.xlsx,20
94,Round of 16,3,,2,2026-07-07T00:00:00Z,2026-07-07,"Lumen Field, Seattle",Lumen Field,Seattle,USA,,,Winner Match 81,Winner Match 82,winner_match,,81,,winner_match,,82,,False,True,True,True,datalab_export_2026-06-03 16_17_37.xlsx,21
95,Round of 16,3,,2,2026-07-07T16:00:00Z,2026-07-07,"Mercedes-Benz Stadium, Atlanta",Mercedes-Benz Stadium,Atlanta,USA,,,Winner Match 86,Winner Match 88,winner_match,,86,,winner_match,,88,,False,True,True,True,datalab_export_2026-06-03 16_17_37.xlsx,22
96,Round of 16,3,,2,2026-07-07T20:00:00Z,2026-07-07,"BC Place, Vancouver",BC Place,Vancouver,Canada,,,Winner Match 85,Winner Match 87,winner_match,,85,,winner_match,,87,,False,True,True,True,datalab_export_2026-06-03 16_17_37.xlsx,23
