team,canonical_team,group_winner_probability,group_runner_up_probability,best_third_probability,round_of_32_probability,round_of_16_probability,quarter_final_probability,semi_final_probability,final_probability,third_place_match_probability,champion_probability,runner_up_probability,third_place_probability,fourth_place_probability,group_stage_exit_probability,top_4_probability
Tunisia,Tunisia,0.1397,0.2193,0.184,0.543,0.1757,0.0568,0.0185,0.0036,0.0149,0.0007,0.0029,0.0038,0.0111,0.45699999999999996,0.0185
Qatar,Qatar,0.0969,0.1959,0.1892,0.482,0.1465,0.0391,0.0081,0.0018,0.0063,0.0005,0.0013,0.0012,0.0051,0.518,0.0081
Jordan,Jordan,0.0867,0.1911,0.1739,0.4517,0.109,0.0354,0.0077,0.0024,0.0053,0.0005,0.0019,0.0012,0.0041,0.5483,0.0077
Uzbekistan,Uzbekistan,0.1026,0.2118,0.2192,0.5336,0.1729,0.0612,0.0164,0.0034,0.013,0.0005,0.0029,0.0038,0.0092,0.46640000000000004,0.016399999999999998
South Africa,South Africa,0.1116,0.1838,0.173,0.4684,0.1426,0.0385,0.0085,0.0013,0.0072,0.0004,0.0009,0.0013,0.0059,0.5316000000000001,0.0085
Bosnia and Herzegovina,Bosnia and Herzegovina,0.0755,0.1687,0.1831,0.4273,0.1291,0.0288,0.0065,0.001,0.0055,0.0002,0.0008,0.0011,0.0044,0.5727,0.0065
Côte d'Ivoire,Ivory Coast,0.1366,0.2327,0.2195,0.5888,0.1827,0.0569,0.0126,0.0022,0.0104,0.0002,0.002,0.0033,0.0071,0.4112,0.0126
Saudi Arabia,Saudi Arabia,0.0677,0.2073,0.2329,0.5079,0.1424,0.039,0.009,0.0018,0.0072,0.0002,0.0016,0.0014,0.0058,0.4921,0.009
Iraq,Iraq,0.0461,0.1253,0.1396,0.311,0.0877,0.0196,0.0044,0.0008,0.0036,0.0001,0.0007,0.0006,0.003,0.6890000000000001,0.0044
DR Congo,DR Congo,0.0584,0.1398,0.1608,0.359,0.0917,0.0244,0.0039,0.0006,0.0033,0.0001,0.0005,0.0007,0.0026,0.641,0.0039
Ghana,Ghana,0.0551,0.1436,0.1699,0.3686,0.0831,0.0173,0.0043,0.0007,0.0036,0.0001,0.0006,0.0008,0.0028,0.6314,0.0043
Curaçao,Curaçao,0.0566,0.1412,0.1651,0.3629,0.0728,0.0155,0.0018,0.0003,0.0015,0.0,0.0003,0.0002,0.0013,0.6371,0.0018
Cabo Verde,Cape Verde,0.0382,0.1302,0.1494,0.3178,0.0791,0.0177,0.0033,0.0005,0.0028,0.0,0.0005,0.0004,0.0024,0.6821999999999999,0.0033
New Zealand,New Zealand,0.1057,0.163,0.1719,0.4406,0.1129,0.022,0.0029,0.0006,0.0023,0.0,0.0006,0.0007,0.0016,0.5594,0.0029
Haiti,Haiti,0.0439,0.1117,0.1417,0.2973,0.0688,0.0146,0.0021,0.0004,0.0017,0.0,0.0004,0.0004,0.0013,0.7027,0.0021
