match_id,stage,stage_order,round_multiplier,date_utc,match_date,venue,stadium,city,host_country,slot_home,slot_away,home_slot_type,home_group_ref,home_match_ref,home_allowed_third_groups,away_slot_type,away_group_ref,away_match_ref,away_allowed_third_groups,predicted_home_team,predicted_away_team,is_knockout,requires_slot_resolution,source_file,source_row_index
90,Round of 16,3,2,2026-07-04T21:00:00Z,2026-07-04,"Lincoln Financial Field, Philadelphia",Lincoln Financial Field,Philadelphia,USA,Winner Match 74,Winner Match 77,winner_match,,74,,winner_match,,77,,,,True,True,datalab_export_2026-06-03 16_17_37.xlsx,17
91,Round of 16,3,2,2026-07-05T20:00:00Z,2026-07-05,"MetLife Stadium, East Rutherford",MetLife Stadium,East Rutherford,USA,Winner Match 76,Winner Match 78,winner_match,,76,,winner_match,,78,,,,True,True,datalab_export_2026-06-03 16_17_37.xlsx,18
92,Round of 16,3,2,2026-07-06T00:00:00Z,2026-07-06,"Estadio Azteca, Mexico City",Estadio Azteca,Mexico City,Mexico,Winner Match 79,Winner Match 80,winner_match,,79,,winner_match,,80,,,,True,True,datalab_export_2026-06-03 16_17_37.xlsx,19
93,Round of 16,3,2,2026-07-06T19:00:00Z,2026-07-06,"AT&T Stadium, Dallas",AT&T Stadium,Dallas,USA,Winner Match 83,Winner Match 84,winner_match,,83,,winner_match,,84,,,,True,True,datalab_export_2026-06-03 16_17_37.xlsx,20
94,Round of 16,3,2,2026-07-07T00:00:00Z,2026-07-07,"Lumen Field, Seattle",Lumen Field,Seattle,USA,Winner Match 81,Winner Match 82,winner_match,,81,,winner_match,,82,,,,True,True,datalab_export_2026-06-03 16_17_37.xlsx,21
95,Round of 16,3,2,2026-07-07T16:00:00Z,2026-07-07,"Mercedes-Benz Stadium, Atlanta",Mercedes-Benz Stadium,Atlanta,USA,Winner Match 86,Winner Match 88,winner_match,,86,,winner_match,,88,,,,True,True,datalab_export_2026-06-03 16_17_37.xlsx,22
96,Round of 16,3,2,2026-07-07T20:00:00Z,2026-07-07,"BC Place, Vancouver",BC Place,Vancouver,Canada,Winner Match 85,Winner Match 87,winner_match,,85,,winner_match,,87,,,,True,True,datalab_export_2026-06-03 16_17_37.xlsx,23
97,Quarter-final,4,4,2026-07-09T20:00:00Z,2026-07-09,"Gillette Stadium, Boston",Gillette Stadium,Boston,USA,Winner Match 89,Winner Match 90,winner_match,,89,,winner_match,,90,,,,True,True,datalab_export_2026-06-03 16_17_37.xlsx,24
98,Quarter-final,4,4,2026-07-10T19:00:00Z,2026-07-10,"SoFi Stadium, Los Angeles",SoFi Stadium,Los Angeles,USA,Winner Match 93,Winner Match 94,winner_match,,93,,winner_match,,94,,,,True,True,datalab_export_2026-06-03 16_17_37.xlsx,25
99,Quarter-final,4,4,2026-07-11T21:00:00Z,2026-07-11,"Hard Rock Stadium, Miami",Hard Rock Stadium,Miami,USA,Winner Match 91,Winner Match 92,winner_match,,91,,winner_match,,92,,,,True,True,datalab_export_2026-06-03 16_17_37.xlsx,26
100,Quarter-final,4,4,2026-07-12T01:00:00Z,2026-07-12,"GEHA Field at Arrowhead Stadium, Kansas City",GEHA Field at Arrowhead Stadium,Kansas City,USA,Winner Match 95,Winner Match 96,winner_match,,95,,winner_match,,96,,,,True,True,datalab_export_2026-06-03 16_17_37.xlsx,27
101,Semi-final,5,8,2026-07-14T19:00:00Z,2026-07-14,"AT&T Stadium, Dallas",AT&T Stadium,Dallas,USA,Winner Match 97,Winner Match 98,winner_match,,97,,winner_match,,98,,,,True,True,datalab_export_2026-06-03 16_17_37.xlsx,28
102,Semi-final,5,8,2026-07-15T19:00:00Z,2026-07-15,"Mercedes-Benz Stadium, Atlanta",Mercedes-Benz Stadium,Atlanta,USA,Winner Match 99,Winner Match 100,winner_match,,99,,winner_match,,100,,,,True,True,datalab_export_2026-06-03 16_17_37.xlsx,29
103,Third-place playoff,6,8,2026-07-18T21:00:00Z,2026-07-18,"Hard Rock Stadium, Miami",Hard Rock Stadium,Miami,USA,Loser Match 101,Loser Match 102,loser_match,,101,,loser_match,,102,,,,True,True,datalab_export_2026-06-03 16_17_37.xlsx,30
104,Final,7,16,2026-07-19T19:00:00Z,2026-07-19,"MetLife Stadium, East Rutherford",MetLife Stadium,East Rutherford,USA,Winner Match 101,Winner Match 102,winner_match,,101,,winner_match,,102,,,,True,True,datalab_export_2026-06-03 16_17_37.xlsx,31
