match_id,stage,stage_order,group,date_utc,match_date,venue,stadium,city,host_country,home_team,away_team,home_slot,away_slot,is_group_stage,is_knockout,requires_slot_resolution,neutral_for_model,source_file,source_row_index
11,Group stage,1,E,2026-06-14T23:00:00Z,2026-06-14,"Lincoln Financial Field, Philadelphia",Lincoln Financial Field,Philadelphia,USA,Côte d'Ivoire,Ecuador,Côte d'Ivoire,Ecuador,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,10
12,Group stage,1,F,2026-06-15T02:00:00Z,2026-06-15,"Estadio BBVA, Monterrey",Estadio BBVA,Monterrey,Mexico,Sweden,Tunisia,Sweden,Tunisia,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,11
13,Group stage,1,H,2026-06-15T16:00:00Z,2026-06-15,"Mercedes-Benz Stadium, Atlanta",Mercedes-Benz Stadium,Atlanta,USA,Spain,Cabo Verde,Spain,Cabo Verde,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,12
14,Group stage,1,G,2026-06-15T19:00:00Z,2026-06-15,"Lumen Field, Seattle",Lumen Field,Seattle,USA,Belgium,Egypt,Belgium,Egypt,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,13
15,Group stage,1,H,2026-06-15T22:00:00Z,2026-06-15,"Hard Rock Stadium, Miami",Hard Rock Stadium,Miami,USA,Saudi Arabia,Uruguay,Saudi Arabia,Uruguay,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,14
16,Group stage,1,G,2026-06-16T01:00:00Z,2026-06-16,"SoFi Stadium, Los Angeles",SoFi Stadium,Los Angeles,USA,Iran,New Zealand,Iran,New Zealand,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,15
17,Group stage,1,J,2026-06-16T04:00:00Z,2026-06-16,"Levi's Stadium, Santa Clara",Levi's Stadium,Santa Clara,USA,Austria,Jordan,Austria,Jordan,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,16
18,Group stage,1,I,2026-06-16T19:00:00Z,2026-06-16,"MetLife Stadium, East Rutherford",MetLife Stadium,East Rutherford,USA,France,Senegal,France,Senegal,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,17
19,Group stage,1,I,2026-06-16T22:00:00Z,2026-06-16,"Gillette Stadium, Boston",Gillette Stadium,Boston,USA,Iraq,Norway,Iraq,Norway,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,18
20,Group stage,1,J,2026-06-17T01:00:00Z,2026-06-17,"GEHA Field at Arrowhead Stadium, Kansas City",GEHA Field at Arrowhead Stadium,Kansas City,USA,Argentina,Algeria,Argentina,Algeria,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,19
21,Group stage,1,K,2026-06-17T17:00:00Z,2026-06-17,"NRG Stadium, Houston",NRG Stadium,Houston,USA,Portugal,DR Congo,Portugal,DR Congo,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,20
22,Group stage,1,L,2026-06-17T20:00:00Z,2026-06-17,"AT&T Stadium, Dallas",AT&T Stadium,Dallas,USA,England,Croatia,England,Croatia,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,21
23,Group stage,1,L,2026-06-17T23:00:00Z,2026-06-17,"BMO Field, Toronto",BMO Field,Toronto,Canada,Ghana,Panama,Ghana,Panama,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,22
24,Group stage,1,K,2026-06-18T02:00:00Z,2026-06-18,"Estadio Azteca, Mexico City",Estadio Azteca,Mexico City,Mexico,Uzbekistan,Colombia,Uzbekistan,Colombia,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,23
25,Group stage,1,A,2026-06-18T16:00:00Z,2026-06-18,"Mercedes-Benz Stadium, Atlanta",Mercedes-Benz Stadium,Atlanta,USA,Czech Republic,South Africa,Czech Republic,South Africa,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,24
26,Group stage,1,B,2026-06-18T19:00:00Z,2026-06-18,"SoFi Stadium, Los Angeles",SoFi Stadium,Los Angeles,USA,Switzerland,Bosnia and Herzegovina,Switzerland,Bosnia and Herzegovina,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,25
27,Group stage,1,B,2026-06-18T22:00:00Z,2026-06-18,"BC Place, Vancouver",BC Place,Vancouver,Canada,Canada,Qatar,Canada,Qatar,True,False,False,False,datalab_export_2026-06-03 16_17_15.xlsx,26
28,Group stage,1,A,2026-06-19T01:00:00Z,2026-06-19,"Estadio Akron, Guadalajara",Estadio Akron,Guadalajara,Mexico,Mexico,South Korea,Mexico,South Korea,True,False,False,False,datalab_export_2026-06-03 16_17_15.xlsx,27
29,Group stage,1,D,2026-06-19T04:00:00Z,2026-06-19,"Levi's Stadium, Santa Clara",Levi's Stadium,Santa Clara,USA,Turkey,Paraguay,Turkey,Paraguay,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,28
30,Group stage,1,D,2026-06-19T19:00:00Z,2026-06-19,"Lumen Field, Seattle",Lumen Field,Seattle,USA,USA,Australia,USA,Australia,True,False,False,False,datalab_export_2026-06-03 16_17_15.xlsx,29
31,Group stage,1,C,2026-06-19T22:00:00Z,2026-06-19,"Gillette Stadium, Boston",Gillette Stadium,Boston,USA,Scotland,Morocco,Scotland,Morocco,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,30
32,Group stage,1,C,2026-06-20T01:00:00Z,2026-06-20,"Lincoln Financial Field, Philadelphia",Lincoln Financial Field,Philadelphia,USA,Brazil,Haiti,Brazil,Haiti,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,31
33,Group stage,1,F,2026-06-20T04:00:00Z,2026-06-20,"Estadio BBVA, Monterrey",Estadio BBVA,Monterrey,Mexico,Tunisia,Japan,Tunisia,Japan,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,32
34,Group stage,1,F,2026-06-20T17:00:00Z,2026-06-20,"NRG Stadium, Houston",NRG Stadium,Houston,USA,Netherlands,Sweden,Netherlands,Sweden,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,33
35,Group stage,1,E,2026-06-20T20:00:00Z,2026-06-20,"BMO Field, Toronto",BMO Field,Toronto,Canada,Germany,Côte d'Ivoire,Germany,Côte d'Ivoire,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,34
36,Group stage,1,E,2026-06-21T00:00:00Z,2026-06-21,"GEHA Field at Arrowhead Stadium, Kansas City",GEHA Field at Arrowhead Stadium,Kansas City,USA,Ecuador,Curaçao,Ecuador,Curaçao,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,35
37,Group stage,1,H,2026-06-21T16:00:00Z,2026-06-21,"Mercedes-Benz Stadium, Atlanta",Mercedes-Benz Stadium,Atlanta,USA,Spain,Saudi Arabia,Spain,Saudi Arabia,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,36
38,Group stage,1,G,2026-06-21T19:00:00Z,2026-06-21,"SoFi Stadium, Los Angeles",SoFi Stadium,Los Angeles,USA,Belgium,Iran,Belgium,Iran,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,37
39,Group stage,1,H,2026-06-21T22:00:00Z,2026-06-21,"Hard Rock Stadium, Miami",Hard Rock Stadium,Miami,USA,Uruguay,Cabo Verde,Uruguay,Cabo Verde,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,38
40,Group stage,1,G,2026-06-22T01:00:00Z,2026-06-22,"BC Place, Vancouver",BC Place,Vancouver,Canada,New Zealand,Egypt,New Zealand,Egypt,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,39
41,Group stage,1,J,2026-06-22T17:00:00Z,2026-06-22,"AT&T Stadium, Dallas",AT&T Stadium,Dallas,USA,Argentina,Austria,Argentina,Austria,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,40
42,Group stage,1,I,2026-06-22T21:00:00Z,2026-06-22,"Lincoln Financial Field, Philadelphia",Lincoln Financial Field,Philadelphia,USA,France,Iraq,France,Iraq,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,41
43,Group stage,1,I,2026-06-23T00:00:00Z,2026-06-23,"MetLife Stadium, East Rutherford",MetLife Stadium,East Rutherford,USA,Norway,Senegal,Norway,Senegal,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,42
44,Group stage,1,J,2026-06-23T03:00:00Z,2026-06-23,"Levi's Stadium, Santa Clara",Levi's Stadium,Santa Clara,USA,Jordan,Algeria,Jordan,Algeria,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,43
45,Group stage,1,K,2026-06-23T17:00:00Z,2026-06-23,"NRG Stadium, Houston",NRG Stadium,Houston,USA,Portugal,Uzbekistan,Portugal,Uzbekistan,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,44
46,Group stage,1,L,2026-06-23T20:00:00Z,2026-06-23,"Gillette Stadium, Boston",Gillette Stadium,Boston,USA,England,Ghana,England,Ghana,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,45
47,Group stage,1,L,2026-06-23T23:00:00Z,2026-06-23,"BMO Field, Toronto",BMO Field,Toronto,Canada,Panama,Croatia,Panama,Croatia,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,46
48,Group stage,1,K,2026-06-24T02:00:00Z,2026-06-24,"Estadio Akron, Guadalajara",Estadio Akron,Guadalajara,Mexico,Colombia,DR Congo,Colombia,DR Congo,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,47
49,Group stage,1,B,2026-06-24T19:00:00Z,2026-06-24,"BC Place, Vancouver",BC Place,Vancouver,Canada,Switzerland,Canada,Switzerland,Canada,True,False,False,False,datalab_export_2026-06-03 16_17_15.xlsx,48
50,Group stage,1,B,2026-06-24T19:00:00Z,2026-06-24,"Lumen Field, Seattle",Lumen Field,Seattle,USA,Bosnia and Herzegovina,Qatar,Bosnia and Herzegovina,Qatar,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,49
51,Group stage,1,C,2026-06-24T22:00:00Z,2026-06-24,"Hard Rock Stadium, Miami",Hard Rock Stadium,Miami,USA,Scotland,Brazil,Scotland,Brazil,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,50
52,Group stage,1,C,2026-06-24T22:00:00Z,2026-06-24,"Mercedes-Benz Stadium, Atlanta",Mercedes-Benz Stadium,Atlanta,USA,Morocco,Haiti,Morocco,Haiti,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,51
53,Group stage,1,A,2026-06-25T01:00:00Z,2026-06-25,"Estadio Azteca, Mexico City",Estadio Azteca,Mexico City,Mexico,Czech Republic,Mexico,Czech Republic,Mexico,True,False,False,False,datalab_export_2026-06-03 16_17_15.xlsx,52
54,Group stage,1,A,2026-06-25T01:00:00Z,2026-06-25,"Estadio BBVA, Monterrey",Estadio BBVA,Monterrey,Mexico,South Africa,South Korea,South Africa,South Korea,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,53
55,Group stage,1,E,2026-06-25T20:00:00Z,2026-06-25,"Lincoln Financial Field, Philadelphia",Lincoln Financial Field,Philadelphia,USA,Curaçao,Côte d'Ivoire,Curaçao,Côte d'Ivoire,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,54
56,Group stage,1,E,2026-06-25T20:00:00Z,2026-06-25,"MetLife Stadium, East Rutherford",MetLife Stadium,East Rutherford,USA,Ecuador,Germany,Ecuador,Germany,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,55
57,Group stage,1,F,2026-06-25T23:00:00Z,2026-06-25,"AT&T Stadium, Dallas",AT&T Stadium,Dallas,USA,Japan,Sweden,Japan,Sweden,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,56
58,Group stage,1,F,2026-06-25T23:00:00Z,2026-06-25,"GEHA Field at Arrowhead Stadium, Kansas City",GEHA Field at Arrowhead Stadium,Kansas City,USA,Tunisia,Netherlands,Tunisia,Netherlands,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,57
59,Group stage,1,D,2026-06-26T02:00:00Z,2026-06-26,"SoFi Stadium, Los Angeles",SoFi Stadium,Los Angeles,USA,USA,Turkey,USA,Turkey,True,False,False,False,datalab_export_2026-06-03 16_17_15.xlsx,58
60,Group stage,1,D,2026-06-26T02:00:00Z,2026-06-26,"Levi's Stadium, Santa Clara",Levi's Stadium,Santa Clara,USA,Paraguay,Australia,Paraguay,Australia,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,59
61,Group stage,1,I,2026-06-26T19:00:00Z,2026-06-26,"Gillette Stadium, Boston",Gillette Stadium,Boston,USA,Norway,France,Norway,France,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,60
62,Group stage,1,I,2026-06-26T19:00:00Z,2026-06-26,"BMO Field, Toronto",BMO Field,Toronto,Canada,Senegal,Iraq,Senegal,Iraq,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,61
63,Group stage,1,H,2026-06-27T00:00:00Z,2026-06-27,"NRG Stadium, Houston",NRG Stadium,Houston,USA,Cabo Verde,Saudi Arabia,Cabo Verde,Saudi Arabia,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,62
64,Group stage,1,H,2026-06-27T00:00:00Z,2026-06-27,"Estadio Akron, Guadalajara",Estadio Akron,Guadalajara,Mexico,Uruguay,Spain,Uruguay,Spain,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,63
65,Group stage,1,G,2026-06-27T03:00:00Z,2026-06-27,"Lumen Field, Seattle",Lumen Field,Seattle,USA,Egypt,Iran,Egypt,Iran,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,64
66,Group stage,1,G,2026-06-27T03:00:00Z,2026-06-27,"BC Place, Vancouver",BC Place,Vancouver,Canada,New Zealand,Belgium,New Zealand,Belgium,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,65
67,Group stage,1,L,2026-06-27T21:00:00Z,2026-06-27,"MetLife Stadium, East Rutherford",MetLife Stadium,East Rutherford,USA,Panama,England,Panama,England,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,66
68,Group stage,1,L,2026-06-27T21:00:00Z,2026-06-27,"Lincoln Financial Field, Philadelphia",Lincoln Financial Field,Philadelphia,USA,Croatia,Ghana,Croatia,Ghana,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,67
69,Group stage,1,K,2026-06-27T23:30:00Z,2026-06-27,"Hard Rock Stadium, Miami",Hard Rock Stadium,Miami,USA,Colombia,Portugal,Colombia,Portugal,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,68
70,Group stage,1,K,2026-06-27T23:30:00Z,2026-06-27,"Mercedes-Benz Stadium, Atlanta",Mercedes-Benz Stadium,Atlanta,USA,DR Congo,Uzbekistan,DR Congo,Uzbekistan,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,69
71,Group stage,1,J,2026-06-28T02:00:00Z,2026-06-28,"GEHA Field at Arrowhead Stadium, Kansas City",GEHA Field at Arrowhead Stadium,Kansas City,USA,Algeria,Austria,Algeria,Austria,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,70
72,Group stage,1,J,2026-06-28T02:00:00Z,2026-06-28,"AT&T Stadium, Dallas",AT&T Stadium,Dallas,USA,Jordan,Argentina,Jordan,Argentina,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,71
